"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"James Jones, JR Smith, LeBron James, Matthew Dellavedova, Mike Miller","CLE",4,2,206,0
"Jeff Green, Kosta Koufos, Marc Gasol, Mike Conley, Tony Allen","MEM",4,70,207,1
"Kawhi Leonard, Matt Bonner, Patty Mills, Tim Duncan, Tony Parker","SAS",4,82,208,1
"Aaron Brooks, Jimmy Butler, Nikola Mirotic, Taj Gibson, Tony Snell","CHI",3,87,209,1
"Al-Farouq Aminu, Amar'e Stoudemire, Chandler Parsons, Devin Harris, J.J. Barea","DAL",3,289,210,4
"Al-Farouq Aminu, Bernard James, Charlie Villanueva, Dwight Powell, Raymond Felton","DAL",3,33,211,0
"Al-Farouq Aminu, Charlie Villanueva, Monta Ellis, Raymond Felton, Richard Jefferson","DAL",3,5,212,0
"Al Horford, DeMarre Carroll, Dennis Schroder, Jeff Teague, Pero Antic","ATL",3,111,213,1
"Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Pero Antic","ATL",3,1119,214,18
"Al Horford, DeMarre Carroll, Kent Bazemore, Kyle Korver, Paul Millsap","ATL",3,81,215,1
"Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Paul Millsap","ATL",3,289,216,4
"Andre Iguodala, David Lee, Draymond Green, Klay Thompson, Shaun Livingston","GSW",3,542,217,9
"Andre Iguodala, Draymond Green, Festus Ezeli, Klay Thompson, Leandro Barbosa","GSW",3,73,218,1
"Andre Iguodala, Festus Ezeli, Harrison Barnes, Leandro Barbosa, Shaun Livingston","GSW",3,949,219,15
"Anthony Davis, Eric Gordon, Norris Cole, Ryan Anderson, Tyreke Evans","NOP",3,222,220,3
"Austin Rivers, Blake Griffin, Chris Paul, JJ Redick, Spencer Hawes","LAC",3,49,221,0
"Austin Rivers, Blake Griffin, DeAndre Jordan, JJ Redick, Matt Barnes","LAC",3,1859,222,30
"Austin Rivers, Chris Paul, DeAndre Jordan, Jamal Crawford, Spencer Hawes","LAC",3,205,223,3
"Avery Bradley, Brandon Bass, Evan Turner, Isaiah Thomas, Jared Sullinger","BOS",3,807,224,13
"Avery Bradley, Gigi Datome, Isaiah Thomas, Jared Sullinger, Marcus Smart","BOS",3,132,225,2
"Beno Udrih, Courtney Lee, Kosta Koufos, Tony Allen, Zach Randolph","MEM",3,240,226,4
"Beno Udrih, Jeff Green, Marc Gasol, Vince Carter, Zach Randolph","MEM",3,121,227,2
"Beno Udrih, Jeff Green, Mike Conley, Vince Carter, Zach Randolph","MEM",3,218,228,3
"Blake Griffin, Glen Davis, Jamal Crawford, JJ Redick, Lester Hudson","LAC",3,170,229,2
"Boris Diaw, Manu Ginobili, Marco Belinelli, Tim Duncan, Tony Parker","SAS",3,126,230,2
"Bradley Beal, Drew Gooden, John Wall, Nene, Paul Pierce","WAS",3,243,231,4
"Bradley Beal, Marcin Gortat, Otto Porter Jr., Paul Pierce, Ramon Sessions","WAS",3,1614,232,26
"Chandler Parsons, Devin Harris, Dirk Nowitzki, J.J. Barea, Tyson Chandler","DAL",3,68,233,1
"Chandler Parsons, Dirk Nowitzki, J.J. Barea, Monta Ellis, Tyson Chandler","DAL",3,136,234,2
"Chris Paul, DeAndre Jordan, Jamal Crawford, JJ Redick, Matt Barnes","LAC",3,172,235,2
"CJ McCollum, Damian Lillard, LaMarcus Aldridge, Meyers Leonard, Steve Blake","POR",3,31,236,0
"Corey Brewer, Dwight Howard, Jason Terry, Terrence Jones, Trevor Ariza","HOU",3,910,237,15
"Corey Brewer, Dwight Howard, Josh Smith, Nick Johnson, Pablo Prigioni","HOU",3,308,238,5
"Courtney Lee, JaMychal Green, Jordan Adams, Nick Calathes, Russ Smith","MEM",3,35,239,0
"Courtney Lee, Jeff Green, Kosta Koufos, Mike Conley, Zach Randolph","MEM",3,170,240,2
"Courtney Lee, Jeff Green, Tony Allen, Vince Carter, Zach Randolph","MEM",3,213,241,3
"Courtney Lee, Kosta Koufos, Marc Gasol, Mike Conley, Vince Carter","MEM",3,88,242,1
"Danny Green, Jeff Ayres, Kawhi Leonard, Marco Belinelli, Patty Mills","SAS",3,16,243,0
"Danny Green, Kawhi Leonard, Matt Bonner, Tim Duncan, Tony Parker","SAS",3,44,244,0
"Dante Cunningham, Jrue Holiday, Norris Cole, Ryan Anderson, Tyreke Evans","NOP",3,93,245,1
"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Stephen Curry","GSW",3,119,246,1
"DeMar DeRozan, Kyle Lowry, Lou Williams, Patrick Patterson, Tyler Hansbrough","TOR",3,224,247,3
"DeMarre Carroll, Dennis Schroder, Kent Bazemore, Mike Scott, Pero Antic","ATL",3,71,248,1
"Derrick Rose, Jimmy Butler, Nikola Mirotic, Pau Gasol, Tony Snell","CHI",3,387,249,6
"Derrick Rose, Joakim Noah, Kirk Hinrich, Mike Dunleavy, Pau Gasol","CHI",3,44,250,0
"Devin Harris, Dirk Nowitzki, J.J. Barea, Monta Ellis, Tyson Chandler","DAL",3,430,251,7
"Draymond Green, Festus Ezeli, Harrison Barnes, Klay Thompson, Stephen Curry","GSW",3,465,252,7
"Ersan Ilyasova, Giannis Antetokounmpo, Michael Carter-Williams, O.J. Mayo, Zaza Pachulia","MIL",3,248,253,4
