Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
6772,A. Bennett,C. Budinger,G. Dieng,Z. LaVine,T. Young,MIN,2014-15,1,0.9,2,1,84.7,0,3,0,0,0,0,0,0,-2,0,0
6773,T. Burke,D. Exum,D. Favors,G. Hayward,E. Millsap,UTA,2014-15,1,0.2,1,0,120,0,2,0,0,1,0,0,0,0,0,0
6774,M. Smart,M. Thornton,E. Turner,G. Wallace,T. Zeller,BOS,2014-15,1,1.5,3,3,97.1,0,1,-0.5,0,0,-0.5,-0.5,0,-2,0,0
6775,A. Aminu,J. Barea,T. Chandler,R. Felton,R. Jefferson,DAL,2014-15,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6776,J. Barea,T. Chandler,D. Harris,C. Parsons,C. Villanueva,DAL,2014-15,2,3.1,7,7,107.2,0,1,-0.1,0,0,0,-0.1,0,0,0,0
6777,S. Curry,D. Green,A. Iguodala,J. McAdoo,K. Thompson,GSW,2014-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6778,P. Gasol,T. Gibson,K. Hinrich,J. Noah,D. Rose,CHI,2014-15,1,0.1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
6779,A. Iguodala,D. Lee,S. Livingston,J. McAdoo,K. Thompson,GSW,2014-15,1,1.3,2,3,92.3,1,0,0.5,0,-1,0.5,0.5,-2,-2,0,0
6780,J. Clarkson,J. Hill,R. Kelly,J. Lin,R. Sacre,LAL,2014-15,2,3.2,7,5,89.5,0,1,-0.067,0,-1,-0.067,-0.067,0,0,0,0
6781,K. Humphries,A. Miller,K. Séraphin,G. Temple,M. Webster,WAS,2014-15,1,0.4,1,1,130.9,0,0,0,0,0,0,0,0,0,0,0
6782,C. Bosh,D. Granger,S. Napier,D. Wade,H. Whiteside,MIA,2014-15,1,2.5,4,5,87,0,-1,0.167,0,-1,0.5,0.208,0,0,0,0
6783,L. Aldridge,W. Barton,N. Batum,C. Kaman,D. Lillard,POR,2014-15,1,2.2,4,4,88.6,0,0,0,-1,-1,-0.5,-0.125,1,2,0,0
6784,L. Aldridge,W. Barton,N. Batum,M. Leonard,D. Lillard,POR,2014-15,1,5.3,8,9,77.2,0,2,-0.1,0,0,0,-0.117,0,0,0,0
6785,L. Aldridge,N. Batum,S. Blake,M. Leonard,W. Matthews,POR,2014-15,1,0.3,0,1,84.7,0,-1,0,0,0,0,0,0,0,0,0
6786,K. Irving,T. Mozgov,I. Shumpert,J. Smith,T. Thompson,CLE,2014-15,11,33.9,63,66,91.3,1,1,0.008,6,7,0.167,0.061,-8,-6,-0.227,0
6787,A. Aminu,M. Ellis,D. Harris,D. Powell,C. Villanueva,DAL,2014-15,1,0.6,2,1,113.7,0,1,-0.5,0,1,-0.5,-0.5,0,0,0,0
