"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Carlos Boozer, Ed Davis, Jeremy Lin, Kobe Bryant, Wesley Johnson","LAL",22,1624,165,27
"Courtney Lee, Marc Gasol, Mike Conley, Tayshaun Prince, Tony Allen","MEM",22,2211,166,36
"DeMarre Carroll, Dennis Schroder, Paul Millsap, Pero Antic, Thabo Sefolosha","ATL",22,2306,167,38
"Draymond Green, Harrison Barnes, Klay Thompson, Shaun Livingston, Stephen Curry","GSW",22,1610,168,26
"Ed Davis, Jeremy Lin, Jordan Clarkson, Robert Sacre, Xavier Henry","LAL",22,437,169,7
"Iman Shumpert, Kevin Love, Kyrie Irving, LeBron James, Tristan Thompson","CLE",22,2254,170,37
"Jason Smith, Lance Thomas, Langston Galloway, Lou Amundson, Tim Hardaway Jr.","NYK",22,2275,171,37
"Aaron Brooks, Jimmy Butler, Mike Dunleavy, Nikola Mirotic, Taj Gibson","CHI",21,677,172,11
"Al Horford, DeMarre Carroll, Dennis Schroder, Kyle Korver, Paul Millsap","ATL",21,6256,173,104
"Andre Roberson, Anthony Morrow, Russell Westbrook, Serge Ibaka, Steven Adams","OKC",21,1768,174,29
"Andrew Wiggins, Anthony Bennett, Kevin Martin, Nikola Pekovic, Ricky Rubio","MIN",21,1299,175,21
"Anthony Davis, Jimmer Fredette, Jrue Holiday, Ryan Anderson, Tyreke Evans","NOP",21,1032,176,17
"Arron Afflalo, Darrell Arthur, JJ Hickson, Jusuf Nurkic, Ty Lawson","DEN",21,489,177,8
"Brandon Knight, Giannis Antetokounmpo, John Henson, Khris Middleton, O.J. Mayo","MIL",21,1491,178,24
"Brandon Knight, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia","MIL",21,1715,179,28
"Carmelo Anthony, Jason Smith, Jose Calderon, Langston Galloway, Lou Amundson","NYK",21,9522,180,158
"CJ Miles, David West, George Hill, Roy Hibbert, Solomon Hill","IND",21,22467,181,374
"Corey Brewer, Donatas Motiejunas, Jason Terry, Joey Dorsey, Trevor Ariza","HOU",21,1134,182,18
"Cory Jefferson, Deron Williams, Joe Johnson, Mason Plumlee, Sergey Karasev","BKN",21,1198,183,19
"DeMar DeRozan, Greivis Vasquez, Jonas Valanciunas, Kyle Lowry, Patrick Patterson","TOR",21,1347,184,22
"Drew Gooden, Garrett Temple, John Wall, Marcin Gortat, Otto Porter Jr.","WAS",21,2501,185,41
"James Johnson, Kyle Lowry, Lou Williams, Patrick Patterson, Tyler Hansbrough","TOR",21,1870,186,31
"Marc Gasol, Mike Conley, Quincy Pondexter, Tony Allen, Zach Randolph","MEM",21,1290,187,21
"Aaron Brooks, Jimmy Butler, Mike Dunleavy, Pau Gasol, Taj Gibson","CHI",20,5924,188,98
"Anderson Varejao, Kevin Love, Kyrie Irving, LeBron James, Shawn Marion","CLE",20,15429,189,257
"Andre Drummond, Anthony Tolliver, Jodie Meeks, Kentavious Caldwell-Pope, Reggie Jackson","DET",20,1816,190,30
