"idGame","slugTeam","lineup","lineupStint","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Elton Brand, Kent Bazemore, Paul Millsap",17,66,61,66,61,1980,1982,0,0,0,2
"41400102","BKN","Alan Anderson, Jarrett Jack, Joe Johnson, Mason Plumlee, Mirza Teletovic",17,61,66,61,68,1982,1996,0,2,-2,14
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap, Pero Antic",18,66,61,68,61,1982,1996,2,0,2,14
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mirza Teletovic",18,61,68,63,68,1996,2007,2,0,2,11
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Elton Brand, Kent Bazemore, Pero Antic",19,68,61,68,63,1996,2007,0,2,-2,11
"41400102","BKN","Alan Anderson, Jarrett Jack, Joe Johnson, Mason Plumlee, Mirza Teletovic",19,63,68,65,73,2007,2078,2,5,-3,71
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Kent Bazemore, Mike Scott, Pero Antic",20,68,63,73,65,2007,2078,5,2,3,71
"41400102","BKN","Alan Anderson, Brook Lopez, Jarrett Jack, Joe Johnson, Mirza Teletovic",20,65,73,65,73,2078,2078,0,0,0,0
"41400102","ATL","Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott, Pero Antic",21,73,65,73,65,2078,2078,0,0,0,0
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Brook Lopez, Jarrett Jack, Joe Johnson",21,65,73,71,79,2078,2358,6,6,0,280
"41400102","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Pero Antic",22,73,65,75,67,2078,2160,2,2,0,82
"41400102","BKN","Alan Anderson, Bojan Bogdanovic, Deron Williams, Jarrett Jack, Joe Johnson",22,71,79,71,79,2358,2358,0,0,0,0
"41400102","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Mike Scott",23,75,67,79,71,2160,2358,4,4,0,198
"41400102","BKN","Alan Anderson, Deron Williams, Jarrett Jack, Joe Johnson, Mason Plumlee",23,71,79,73,84,2358,2457,2,5,-3,99
"41400102","ATL","Al Horford, Dennis Schroder, Kent Bazemore, Kyle Korver, Paul Millsap",24,79,71,84,73,2358,2457,5,2,3,99
"41400102","BKN","Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Mason Plumlee",24,73,84,73,84,2457,2457,0,0,0,0
"41400102","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Kent Bazemore, Paul Millsap",25,84,73,84,73,2457,2457,0,0,0,0
"41400102","BKN","Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Thaddeus Young",25,73,84,81,88,2457,2614,8,4,4,157
"41400102","ATL","Al Horford, DeMarre Carroll, Dennis Schroder, Jeff Teague, Paul Millsap",26,84,73,88,81,2457,2614,4,8,-4,157
"41400102","BKN","Alan Anderson, Brook Lopez, Deron Williams, Jarrett Jack, Joe Johnson",26,81,88,91,96,2614,2880,10,8,2,266
"41400102","ATL","DeMarre Carroll, Dennis Schroder, Jeff Teague, Paul Millsap, Pero Antic",27,88,81,88,81,2614,2614,0,0,0,0
"41400102","ATL","DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap, Pero Antic",28,88,81,90,86,2614,2721,2,5,-3,107
"41400102","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",29,90,86,93,91,2721,2852,3,5,-2,131
"41400102","ATL","Al Horford, DeMarre Carroll, Kent Bazemore, Kyle Korver, Paul Millsap",30,93,91,96,91,2852,2880,3,0,3,28
"41400103","ATL","Al Horford, DeMarre Carroll, Jeff Teague, Kyle Korver, Paul Millsap",0,0,0,5,16,0,395,5,16,-11,395
