"namePlayer","idGame","slugTeam","totalPlusMinus","totalSecs"
"JJ Redick","41400236","LAC",3,2181
"Joakim Noah","41400214","CHI",3,2244
"John Henson","41400125","MIL",3,1361
"Jordan Adams","41400221","MEM",3,35
"Josh Smith","41400151","HOU",3,1521
"Josh Smith","41400231","HOU",3,1721
"Kent Bazemore","41400204","ATL",3,937
"Klay Thompson","41400226","GSW",3,2210
"Kosta Koufos","41400222","MEM",3,639
"Kyle Korver","41400205","ATL",3,2265
"Leandro Barbosa","41400315","GSW",3,687
"Leandro Barbosa","41400404","GSW",3,417
"LeBron James","41400111","CLE",3,2516
"LeBron James","41400301","CLE",3,2283
"Marc Gasol","41400172","MEM",3,2108
"Marreese Speights","41400221","GSW",3,751
"Mason Plumlee","41400102","BKN",3,798
"Matthew Dellavedova","41400304","CLE",3,999
"Mike Dunleavy","41400213","CHI",3,2344
"Mike Miller","41400403","CLE",3,313
"Nick Johnson","41400154","HOU",3,478
"Pablo Prigioni","41400154","HOU",3,1144
"Pablo Prigioni","41400314","HOU",3,1006
"Patty Mills","41400167","SAS",3,937
"Paul Millsap","41400205","ATL",3,2191
"Pero Antic","41400106","ATL",3,584
"Ramon Sessions","41400131","WAS",3,995
"Ramon Sessions","41400203","WAS",3,2126
"Raymond Felton","41400153","DAL",3,754
"Richard Jefferson","41400151","DAL",3,243
"Russ Smith","41400221","MEM",3,35
"Shaun Livingston","41400312","GSW",3,864
"Shaun Livingston","41400406","GSW",3,1939
"Shawn Marion","41400111","CLE",3,51
"Shelvin Mack","41400302","ATL",3,781
"Stephen Curry","41400142","GSW",3,2225
"Timofey Mozgov","41400211","CLE",3,1588
"Timofey Mozgov","41400401","CLE",3,1993
"Tony Snell","41400123","CHI",3,1619
"Vince Carter","41400221","MEM",3,1107
"Zaza Pachulia","41400125","MIL",3,1492
"Al-Farouq Aminu","41400152","DAL",2,1360
"Al Horford","41400301","ATL",2,2264
"Alan Anderson","41400102","BKN",2,1792
"Andre Iguodala","41400312","GSW",2,1906
"Andre Iguodala","41400402","GSW",2,2186
"Andrew Bogut","41400315","GSW",2,1154
"Austin Rivers","41400231","LAC",2,1701
"Beno Udrih","41400171","MEM",2,1452
"Brandon Rush","41400313","GSW",2,211
"Charlie Villanueva","41400153","DAL",2,676
